user_key,item,required,default_checked
a,役男出境申請單,True,False
a,護照,True,False
a,台幣少許,True,False
a,電子登機證,True,False
a,大量日幣,True,False
a,雨具,True,False
a,乘車用西瓜卡,True,False
a,遮陽用品,True,False
a,常備藥,True,False
a,個人簡易盥洗用具,True,False
a,脫鞋或涼鞋,True,False
a,飛田新地攻略大全,True,True
a,換洗衣物,True,False
a,薄外套,True,False
a,隨身小包,True,False
a,水壺,True,False
a,行充(依大小決定擺放於隨身或托運),True,False
a,腎臟,True,True
a,visit japan填妥,True,False
a,給當地櫻花妹的回程機票,True,True
b,護照,True,False
b,大量日幣,True,False
b,雨具,True,False
b,乘車用西瓜卡,True,False
b,遮陽用品,True,False
b,常備藥,True,False
b,個人簡易盥洗用具,True,False
b,脫鞋或涼鞋,True,False
b,換洗衣物,True,False
b,薄外套,True,False
b,隨身小包,True,False
b,水壺,True,False
b,行充,True,False
b,visit japan填妥,True,False
b,木木梟,True,False
b,塑膠袋(大小皆要),True,False
a,塑膠袋(大小皆要),True,False
a,悠遊卡,True,False
